"disciplinary_id","registration_number","doctor_name","state_medical_council","action_type","status","suspended_date","restored_date","source_type","source_reference","remarks"
"DISC-0106","SYN-KA-MED-001539","Sreedevi Gowda","Karnataka Medical Council","RESTORATION","RESTORED","2019-01-08","2020-06-17","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0107","SYN-GJ-MED-002284","Manasa Rao","Gujarat Medical Council","BLACKLIST","BLACKLISTED","2005-05-29","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0108","SYN-KA-MED-003760","Shekhar Reddy","Karnataka Medical Council","RESTORATION","RESTORED","2021-04-21","2021-09-21","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0109","SYN-KER-MED-003118","Harish Kurup","Kerala Medical Council","SUSPENSION","ACTIVE","2003-12-27","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0110","SYN-UK-MED-000611","Jagadish Kumar","Uttarakhand Medical Council","SUSPENSION","ACTIVE","2010-01-18","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0111","SYN-AS-MED-002575","Leena Kumar","Assam Medical Council","BLACKLIST","BLACKLISTED","2018-11-05","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0112","SYN-OD-MED-002409","Amita Gupta","Odisha Medical Council","SUSPENSION","ACTIVE","2010-07-11","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0113","SYN-MH-MED-000056","Ashwini Jadhav","Maharashtra Medical Council","SUSPENSION","ACTIVE","2015-08-02","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0114","SYN-TN-MED-000010","Naresh Subramanian","Tamil Nadu Medical Council","REMOVAL","REMOVED","2010-01-18","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0115","SYN-JK-MED-000884","Rohit Shah","Jammu and Kashmir Medical Council","BLACKLIST","BLACKLISTED","2001-05-07","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0116","SYN-TN-MED-001534","Srinivas Shanmugam","Tamil Nadu Medical Council","SUSPENSION","ACTIVE","2000-01-30","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0117","SYN-TG-MED-004103","Savitha Mishra","Telangana State Medical Council","SUSPENSION","ACTIVE","2011-07-27","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0118","SYN-DL-MED-004204","Pavan Verma","Delhi Medical Council","SUSPENSION","ACTIVE","2019-05-18","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0119","SYN-MH-MED-000021","Aditya Pawar","Maharashtra Medical Council","SUSPENSION","ACTIVE","2015-12-20","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0120","SYN-TG-MED-000756","Ashok Gupta","Telangana State Medical Council","SUSPENSION","ACTIVE","2007-01-11","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0121","SYN-OD-MED-002381","Mahesh Sharma","Odisha Medical Council","SUSPENSION","ACTIVE","2007-02-04","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0122","SYN-TN-MED-001963","Jagadish Raja","Tamil Nadu Medical Council","SUSPENSION","ACTIVE","2019-12-24","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0123","SYN-KER-MED-002488","Ravi Namboothiri","Kerala Medical Council","REMOVAL","REMOVED","2007-09-23","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0124","SYN-OD-MED-000997","Vandana Anand","Odisha Medical Council","SUSPENSION","ACTIVE","2001-01-06","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0125","SYN-WB-MED-004379","Lakshmi Varma","West Bengal Medical Council","RESTORATION","RESTORED","2020-09-12","2021-10-29","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0126","SYN-AP-MED-001421","Suresh Patel","Andhra Pradesh Medical Council","SUSPENSION","ACTIVE","2010-05-11","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0127","SYN-GJ-MED-002314","Rajini Chandra","Gujarat Medical Council","SUSPENSION","ACTIVE","2015-12-03","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0128","SYN-KER-MED-002934","Sreedevi Varma","Kerala Medical Council","SUSPENSION","ACTIVE","2012-03-01","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0129","SYN-TN-MED-004529","Ram Devarajan","Tamil Nadu Medical Council","BLACKLIST","BLACKLISTED","2022-11-19","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0130","SYN-GJ-MED-004248","Padmaja Shah","Gujarat Medical Council","BLACKLIST","BLACKLISTED","2007-07-22","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0131","SYN-TN-MED-000007","Manasa Natarajan","Tamil Nadu Medical Council","SUSPENSION","ACTIVE","2022-05-22","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0132","SYN-GJ-MED-003308","Vivek Kumar","Gujarat Medical Council","SUSPENSION","ACTIVE","2003-04-23","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0133","SYN-KA-MED-003929","Srikanth Prasad","Karnataka Medical Council","BLACKLIST","BLACKLISTED","2017-01-24","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0134","SYN-TG-MED-001252","Kumar Dey","Telangana State Medical Council","SUSPENSION","ACTIVE","2005-09-03","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0135","SYN-JH-MED-001295","Ambika Dey","Jharkhand Medical Council","SUSPENSION","ACTIVE","2002-11-03","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0136","SYN-KER-MED-002448","Bhavana Menon","Kerala Medical Council","SUSPENSION","ACTIVE","2010-05-02","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0137","SYN-HP-MED-001653","Meenakshi Chandra","Himachal Pradesh Medical Council","SUSPENSION","ACTIVE","2010-04-04","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0138","SYN-KA-MED-001909","Yashodha Shetty","Karnataka Medical Council","REMOVAL","REMOVED","2015-11-28","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0139","SYN-PB-MED-004709","Ashok Reddy","Punjab Medical Council","SUSPENSION","ACTIVE","2004-04-10","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0140","SYN-KA-MED-000101","Ram Patil","Karnataka Medical Council","SUSPENSION","ACTIVE","2017-02-10","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0141","SYN-AP-MED-004637","Ganesh Jain","Andhra Pradesh Medical Council","SUSPENSION","ACTIVE","2019-06-11","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0142","SYN-TN-MED-002587","Anand Sekar","Tamil Nadu Medical Council","BLACKLIST","BLACKLISTED","2008-11-17","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0143","SYN-TG-MED-002498","Deepak Babu","Telangana State Medical Council","SUSPENSION","ACTIVE","2004-12-23","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0144","SYN-TG-MED-001297","Jayalakshmi Babu","Telangana State Medical Council","RESTORATION","RESTORED","2011-11-01","2013-09-12","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0145","SYN-UP-MED-001358","Rohini Chandra","Uttar Pradesh Medical Council","REMOVAL","REMOVED","2010-04-22","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0146","SYN-KER-MED-001837","Priya Mohan","Kerala Medical Council","SUSPENSION","ACTIVE","2012-10-24","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0147","SYN-KER-MED-000771","Mahesh Pillai","Kerala Medical Council","REMOVAL","REMOVED","2005-06-19","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0148","SYN-KA-MED-000162","Rajini Gowda","Karnataka Medical Council","SUSPENSION","ACTIVE","2008-09-04","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0149","SYN-MH-MED-000705","Srikanth Naik","Maharashtra Medical Council","SUSPENSION","ACTIVE","2013-05-10","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0150","SYN-KER-MED-001426","Santosh Philip","Kerala Medical Council","SUSPENSION","ACTIVE","2016-08-15","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
